experiment_id,ablation_tag,dataset,model,seed,run_label,run_dir,status,started_at,finished_at,sota_method,sota_lambda,alpha_cell,meg_rw_alpha,ndcg@10,recall@10,mrr@10,expdev,tail_ratio,tail_head_ratio,exposure_ratio,ndcg_gap_max_min,ndcg_std,worst_group_ndcg,ndcg_niche,ndcg_semi_niche,ndcg_semi_mainstream,ndcg_mainstream,transfer_l1_shift,transfer_max_abs_shift,fairness_error
lastfm__neumf__seed0__baseline,,lastfm,neumf,0,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/neumf/seed_0/baseline,success,2026-04-16T12:25:50Z,2026-04-16T12:33:00Z,none,,baseline,0.0,0.1524,0.1618,0.2791,0.441144387881,0.00153927813163,0.00156705933211,0.00140494974603,0.199609004519,0.0758412021257,0.07444637483,0.07444637483,0.106254579929,0.153696831354,0.274055379349,,,
lastfm__neumf__seed1__baseline,,lastfm,neumf,1,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/neumf/seed_1/baseline,success,2026-04-24T13:38:14Z,2026-04-24T13:45:37Z,none,,baseline,0.0,0.1482,0.1583,0.2726,0.444222944144,0.000106157112527,0.00010739984964,0.00010739984964,0.187810181874,0.0708259166104,0.0735040755775,0.0735040755775,0.107104002628,0.149739029845,0.261314257451,,,
lastfm__neumf__seed2__baseline,,lastfm,neumf,2,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/neumf/seed_2/baseline,success,2026-04-24T13:45:40Z,2026-04-24T13:52:42Z,none,,baseline,0.0,0.1515,0.1619,0.2748,0.446346086395,0.000106157112527,0.000106940434178,0.000106940434178,0.197387828717,0.0736423833855,0.070650312682,0.070650312682,0.111878688211,0.153894831119,0.268038141399,,,
lastfm__neumf__seed3__baseline,,lastfm,neumf,3,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/neumf/seed_3/baseline,success,2026-04-24T13:52:46Z,2026-04-24T13:58:24Z,none,,baseline,0.0,0.1582,0.1684,0.2877,0.438092370896,0.000955414012739,0.000978739600891,0.000978739600892,0.207102196914,0.077008116594,0.073003248619,0.073003248619,0.118225714523,0.160207097705,0.280105445533,,,
lastfm__neumf__seed4__baseline,,lastfm,neumf,4,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/neumf/seed_4/baseline,success,2026-04-24T13:58:27Z,2026-04-24T14:05:05Z,none,,baseline,0.0,0.1534,0.1658,0.2768,0.438384302955,0.000902335456476,0.000923812629061,0.000923812629062,0.169059771187,0.0625797963504,0.0825681270916,0.0825681270916,0.121912261594,0.156223769689,0.251627898279,,,
lastfm__neumf__seed5__baseline,,lastfm,neumf,5,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/neumf/seed_5/baseline,success,2026-04-24T14:05:08Z,2026-04-24T14:10:29Z,none,,baseline,0.0,0.1575,0.1652,0.2922,0.441728252,0.00185774946921,0.0018890328152,0.0018890328152,0.209628958521,0.079140464044,0.0781717961625,0.0781717961625,0.116927705673,0.145843011621,0.287800754683,,,
lastfm__ngcf__seed0__alpha_0.1,,lastfm,ngcf,0,alpha_0.1,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/ngcf/seed_0/alpha_0.1,success,2026-04-16T02:34:43Z,2026-04-16T02:37:53Z,none,,baseline,0.1,0.1618,0.1691,0.2955,0.422354578964,0.00966029723992,0.0102258680751,0.0102258680751,0.221259030431,0.0843013579989,0.0733499906338,0.0733499906338,0.107869791925,0.169398743852,0.294609021064,0.00386369319603,0.00150537634409,
lastfm__ngcf__seed0__alpha_0.2,,lastfm,ngcf,0,alpha_0.2,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/ngcf/seed_0/alpha_0.2,success,2026-04-16T02:37:56Z,2026-04-16T02:41:03Z,none,,baseline,0.2,0.1613,0.1681,0.2958,0.422673050301,0.00966029723992,0.0102189781022,0.0102189781022,0.220046854115,0.08387282955,0.0744076852534,0.0744076852534,0.108596588545,0.170370809224,0.294454539368,0.00686717133829,0.00301075268817,
lastfm__ngcf__seed0__alpha_0.4,,lastfm,ngcf,0,alpha_0.4,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/ngcf/seed_0/alpha_0.4,success,2026-04-16T02:41:06Z,2026-04-16T02:44:15Z,none,,baseline,0.4,0.1628,0.1694,0.2994,0.423495767924,0.00918259023355,0.00969676587634,0.00969676587635,0.218970721879,0.083523095491,0.0756305686357,0.0756305686357,0.10891784393,0.168629172803,0.294601290515,0.0150537634409,0.00752688172043,
lastfm__ngcf__seed0__alpha_0.8,,lastfm,ngcf,0,alpha_0.8,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/ngcf/seed_0/alpha_0.8,success,2026-04-16T02:44:18Z,2026-04-16T02:47:30Z,none,,baseline,0.8,0.1613,0.1676,0.2967,0.422566893189,0.00944798301486,0.00999663034931,0.00999663034932,0.21921226451,0.0837839168564,0.0744589650452,0.0744589650452,0.107035943484,0.169720678161,0.293671229555,0.00731182795699,0.00365591397849,
lastfm__ngcf__seed0__baseline,,lastfm,ngcf,0,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/ngcf/seed_0/baseline,success,2026-04-16T02:31:30Z,2026-04-16T02:34:40Z,none,,baseline,0.0,0.1614,0.1677,0.2965,0.422566893189,0.00955414012739,0.0101089520386,0.0101089520386,0.219784730974,0.0839068850627,0.0741695586382,0.0741695586382,0.10743342312,0.169725002476,0.293954289612,,,
lastfm__ngcf__seed1__baseline,,lastfm,ngcf,1,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/ngcf/seed_1/baseline,success,2026-04-24T10:31:21Z,2026-04-24T10:34:35Z,none,,baseline,0.0,0.1561,0.1661,0.285,0.424557339049,0.00987261146497,0.0104021027907,0.0104021027907,0.189268384921,0.0720060839997,0.0843117645691,0.0843117645691,0.114839334183,0.146716079843,0.27358014949,,,
