experiments_root,dataset,model,seed,run_label,alpha,sota_method,sota_lambda,ndcg@10,expdev,tail_ratio,ndcg_niche,ndcg_semi_niche,ndcg_semi_mainstream,ndcg_mainstream,ndcg_gap_max_min,ndcg_std,worst_group_ndcg,align_pearson,align_spearman,exp_head,exp_upper_mid,exp_lower_mid,exp_tail,transfer_l1_shift,transfer_max_abs_shift,transfer_niche_head,transfer_niche_upper_mid,transfer_niche_lower_mid,transfer_niche_tail
experiments/cikm2026,ml1m,weighted_neumf,8,alpha_0.8_beta_0.0,0.8,none,,0.1571,0.2998601982646041,0.025264900662251656,0.18167541491905187,0.15555441270511136,0.14236379715509614,0.14894242401932506,0.039311617763955725,0.014916743540208572,0.14236379715509614,-0.8912017869233799,-1.0,2.7988530515154317,0.6995303295314971,0.40050277199971346,0.10111384695335741,1.2498372976711893,0.26394963552021206,0.4054340622929092,,,0.08217362491716368
experiments/cikm2026,ml1m,weighted_neumf,8,alpha_0.8_beta_0.0,0.8,none,,0.1571,0.2998601982646041,0.025264900662251656,0.18167541491905187,0.15555441270511136,0.14236379715509614,0.14894242401932506,0.039311617763955725,0.014916743540208572,0.14236379715509614,-0.8912017869233799,-1.0,2.7988530515154317,0.6995303295314971,0.40050277199971346,0.10111384695335741,1.2498372976711893,0.26394963552021206,0.4054340622929092,,,0.08217362491716368
experiments/cikm2026_SOTA,ml1m,weighted_neumf,8,alpha_0.8_beta_0.0,0.8,none,,0.1571,0.2998601982646041,0.025264900662251656,0.18167541491905187,0.15555441270511136,0.14236379715509614,0.14894242401932506,0.039311617763955725,0.014916743540208572,0.14236379715509614,-0.8912017869233799,-1.0,2.7988530515154317,0.6995303295314971,0.40050277199971346,0.10111384695335741,1.2498372976711893,0.26394963552021206,0.4054340622929092,,,0.08217362491716368
experiments/cikm2026,ml1m,weighted_neumf,9,alpha_0.8_beta_0.0,0.8,none,,0.1549,0.2926664896553326,0.023294701986754967,0.174499417541095,0.16052164050420578,0.1486490599833994,0.13604612534067936,0.03845329220041563,0.014232704175059193,0.13604612534067936,-0.9517418564736844,-1.0,2.741297013480148,0.6672571293806577,0.49821750054195535,0.09322835659723837,1.0904287739638026,0.22538104705102713,0.3894632206759443,,,0.07534791252485089
experiments/cikm2026,ml1m,weighted_neumf,9,alpha_0.8_beta_0.0,0.8,none,,0.1549,0.2926664896553326,0.023294701986754967,0.174499417541095,0.16052164050420578,0.1486490599833994,0.13604612534067936,0.03845329220041563,0.014232704175059193,0.13604612534067936,-0.9517418564736844,-1.0,2.741297013480148,0.6672571293806577,0.49821750054195535,0.09322835659723837,1.0904287739638026,0.22538104705102713,0.3894632206759443,,,0.07534791252485089
experiments/cikm2026_SOTA,ml1m,weighted_neumf,9,alpha_0.8_beta_0.0,0.8,none,,0.1549,0.2926664896553326,0.023294701986754967,0.174499417541095,0.16052164050420578,0.1486490599833994,0.13604612534067936,0.03845329220041563,0.014232704175059193,0.13604612534067936,-0.9517418564736844,-1.0,2.741297013480148,0.6672571293806577,0.49821750054195535,0.09322835659723837,1.0904287739638026,0.22538104705102713,0.3894632206759443,,,0.07534791252485089
experiments/cikm2026,ml1m,weighted_ngcf,0,alpha_0.0,0.0,none,,0.2573,0.350199602238114,0.00024834437086092715,0.3372825701373701,0.2751367597342541,0.2225486680000006,0.1969617204725027,0.1403208496648674,0.05376304896290261,0.1969617204725027,0.9067702414609684,0.9486832980505139,3.201671440843589,0.7083480003071435,0.0889865669507687,0.0009939918984986328,0.008079295580952685,0.0023841059602649484,0.5880715705765407,,,0.000927766732935719
experiments/cikm2026,ml1m,weighted_ngcf,0,alpha_0.0_beta_0.1,0.0,none,,0.2564,0.34896615852950474,0.00024834437086092715,0.3390914213168439,0.2744150248454061,0.22157127908262092,0.19565593152640132,0.14343548979044257,0.054906068259995174,0.19565593152640132,-0.45233149958651375,-0.7745966692414834,3.191803714175313,0.716625752531734,0.09057649750766456,0.0009940357852882703,0.02251690970929687,0.0045033112582780754,0.5861497680583166,,,0.0009940357852882703
experiments/cikm2026,ml1m,weighted_ngcf,0,baseline,0.0,none,,0.2571,0.3503403307149352,0.00026490066225165563,0.3384211773431907,0.2737939680477817,0.2213971401188319,0.19700045086653958,0.14142072647665113,0.05426151585800653,0.19700045086653958,,,3.2027973559670198,0.7060960817058051,0.09004625748953404,0.0010603048376408217,,,0.5876739562624254,,,0.0010603048376408217
experiments/cikm2026,ml1m,weighted_ngcf,0,alpha_0.0_beta_0.5,0.0,none,,0.2562,0.3489744366752001,0.00023178807947019868,0.33658708571916307,0.2742033729602715,0.22043019548816323,0.19601186321152306,0.14057522250764,0.05405279000211322,0.19601186321152306,0.7099971845860018,0.7745966692414834,3.1918671320385825,0.7155025125855099,0.09170258864297191,0.000927766732935719,0.024243326845901466,0.00410868124585817,0.5835652750165672,,,0.000927766732935719
experiments/cikm2026,ml1m,weighted_ngcf,0,alpha_0.0_beta_0.0,0.0,none,,0.2571,0.33142077276389575,0.0007781456953642385,0.32985653744688564,0.2727872085144049,0.22338813667740984,0.19978073436099847,0.13007580308588718,0.04989969077211889,0.19978073436099847,-0.9760120027415192,-0.9486832980505139,3.0238241151484333,0.8273644250877463,0.1456969459636191,0.003114513800201001,0.357946481637173,0.0679920477137177,0.5196819085487077,,,0.0029158383035122596
experiments/cikm2026,ml1m,weighted_ngcf,0,alpha_0.0_beta_0.3,0.0,none,,0.255,0.33043567342614744,0.0009768211920529802,0.3282299830297442,0.2741284591404169,0.22580983087091736,0.19912912228400895,0.12910086074573526,0.04921594335052983,0.19912912228400895,-0.9541768876788899,-0.316227766016838,2.995208653264326,0.8480965906647674,0.15278496975568467,0.003909786315221255,0.4151774054053868,0.0799867461895295,0.5076872100728959,,,0.003777335984095427
experiments/cikm2026,ml1m,weighted_ngcf,0,baseline,0.0,none,,0.2571,0.33405322309502156,0.0005960264900662252,0.3305770060426437,0.26994451334499986,0.2253967393221484,0.19852726092525336,0.13204974511739032,0.049989511303991395,0.19852726092525336,,,3.043431637796115,0.8288248002151202,0.12535791999086224,0.002385641997902211,,,0.5295559973492379,,,0.0023194168323392972
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,0,baseline,0.0,none,,0.2566,0.3510191386619551,0.00026490066225165563,0.3356031292831318,0.27485198667421207,0.2228587757822085,0.197768210893622,0.1378349183895098,0.0528412683278623,0.197768210893622,,,3.208229488635338,0.7023864619344153,0.0883237445926051,0.0010603048376408217,,,0.5917826375082835,,,0.0010603048376408217
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,0,baseline,0.0,none,,0.2552,0.3307336866711805,0.0009768211920529802,0.3275292100864093,0.2723580577403707,0.22600261579394157,0.19769419972993188,0.1298350103564774,0.04920208355927912,0.19769419972993188,,,2.9950763793517043,0.8506127951647642,0.15040103916830913,0.003909786315221255,,,0.5089463220675944,,,0.003777335984095427
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,0,baseline,0.0,none,,0.2568,0.3320995807109156,0.0006622516556291391,0.32968720593776624,0.2724833988554901,0.2239613726546657,0.19956980609704983,0.1301173998407164,0.04977856759196978,0.19956980609704983,,,3.0221686177859084,0.8344518346971159,0.14072882930966263,0.002650718207312416,,,0.5200132538104705,,,0.0025844930417495025
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,0,baseline,0.0,none,,0.2567,0.35043139031758425,0.00024834437086092715,0.3361783877724616,0.2744299281225987,0.22191681159806023,0.19729830272262167,0.13888008504983995,0.05330879624042607,0.19729830272262167,,,3.2035278518709838,0.707419268239105,0.08805884410462263,0.0009940357852882703,,,0.5910536779324055,,,0.0009940357852882703
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,0,baseline,0.0,none,,0.2581,0.33274527607515403,0.0005960264900662252,0.33229404191808537,0.2727228631132136,0.22518323682056607,0.20026657387543365,0.13202746804265172,0.050363349919031485,0.20026657387543365,,,3.033823635182054,0.827965013247987,0.13582566568526686,0.0023856858846918487,,,0.5221338634857521,,,0.0023856858846918487
experiments/cikm2026,ml1m,weighted_ngcf,1,baseline,0.0,none,,0.2541,0.33527838865793547,0.0005960264900662252,0.3261244412073766,0.2664953842895259,0.2261718232868229,0.19714057829866072,0.12898386290871588,0.04838767858431966,0.19714057829866072,,,3.065828380247309,0.8162319718201848,0.11555396204781382,0.0023856858846918487,,,0.545328031809145,,,0.0023856858846918487
experiments/cikm2026,ml1m,weighted_ngcf,1,baseline,0.0,none,,0.2516,0.33190918335992226,0.0008609271523178808,0.32074348988527457,0.2641084837872973,0.22933773811768102,0.1931819664450749,0.12756152344019966,0.047024789390982924,0.1931819664450749,,,2.984959541913,0.8701375554597519,0.141456955791704,0.0034459468355430324,,,0.5202120609675281,,,0.0033797216699801187
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,1,baseline,0.0,none,,0.2519,0.3291111701148891,0.0013741721854304636,0.3194665616186979,0.2665189897293899,0.22768013909683613,0.1974651770378813,0.12200138458081661,0.04562233544677387,0.1974651770378813,,,2.9172021495441687,0.9155023269597835,0.16179519215078578,0.005500331345261762,,,0.49821073558648105,,,0.005500331345261762
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,1,baseline,0.0,none,,0.2531,0.3353032230950216,0.0005298013245033113,0.32297733358917485,0.26570091851395644,0.2266991254667155,0.19524598721706085,0.127731346372114,0.04765744632260737,0.19524598721706085,,,3.07258628795626,0.8096733979678568,0.115619704400601,0.0021206096752816434,,,0.5502319416832339,,,0.0021206096752816434
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,1,baseline,0.0,none,,0.2545,0.3356012363400547,0.0005794701986754967,0.32663692438361613,0.2670213146738828,0.22565967985348379,0.19619437672987813,0.130442547653738,0.04896499204410292,0.19619437672987813,,,3.07006885317391,0.8145755530674369,0.11303617692631324,0.0023194168323392972,,,0.5480450629555996,,,0.0023194168323392972
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,1,baseline,0.0,none,,0.2557,0.33538600455197526,0.0005298013245033113,0.3245076950794013,0.2693108492199619,0.22889730124656127,0.19491767763539158,0.12959001744400972,0.048285495675336264,0.19491767763539158,,,3.0754998008989087,0.8074231459027299,0.11495648740986901,0.0021205657884920057,,,0.550364479787939,,,0.002054340622929092
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,1,baseline,0.0,none,,0.2553,0.3357833555453527,0.0005298013245033113,0.32553215357616994,0.27019456649773865,0.22814592978255105,0.1953408304057914,0.13019132317037854,0.048697696274403936,0.1953408304057914,,,3.085369764689751,0.800733526212724,0.11177609942224273,0.0021206096752816434,,,0.5544068919814445,,,0.0021206096752816434
experiments/cikm2026,ml1m,weighted_ngcf,2,baseline,0.0,none,,0.2544,0.33088269329369707,0.0010927152317880796,0.32900742344374717,0.27287696889772534,0.2248177404173615,0.1936661083681287,0.13534131507561847,0.05116020401052547,0.1936661083681287,,,2.9896551236945386,0.8572237333345252,0.14874751717603615,0.004373625794899477,,,0.5133863485752154,,,0.004174950298210735
experiments/cikm2026,ml1m,weighted_ngcf,2,baseline,0.0,none,,0.2552,0.33077507739965734,0.0011423841059602648,0.3279726434306683,0.2715927785733288,0.22405923236879563,0.19546411063314545,0.13250853279752284,0.05025428495921991,0.19546411063314545,,,2.9922369409200944,0.8537813839377584,0.1494092860769793,0.004572389065167493,,,0.5133863485752154,,,0.004307488402915838
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,2,baseline,0.0,none,,0.252,0.3292601767374057,0.0011423841059602648,0.32435189772736733,0.26984860160246515,0.2226688110520734,0.19428934984963842,0.13006254787772892,0.04935005872888289,0.19428934984963842,,,2.9637552453899048,0.8701411084308414,0.1615312571140856,0.004572389065167493,,,0.5027170311464545,,,0.004307488402915838
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,2,baseline,0.0,none,,0.2549,0.33076679925396196,0.0011589403973509935,0.3295112655439034,0.27108762693937744,0.2254908890266082,0.1938606481054403,0.13565061743846313,0.05103809312590858,0.1938606481054403,,,2.9842223341185288,0.8617299849496194,0.1494091544747001,0.004638526457151132,,,0.5098740888005301,,,0.004174950298210735
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,2,baseline,0.0,none,,0.2568,0.3337883224327699,0.000728476821192053,0.3362069086954316,0.2725298307239269,0.22676942373799572,0.18927140122021857,0.14693550747521306,0.054802748193796276,0.18927140122021857,,,3.040786706836062,0.8293467951515023,0.12695074748250226,0.0029157505299329846,,,0.52909211398277,,,0.0027833001988071568
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,2,baseline,0.0,none,,0.2537,0.33102342177051824,0.0011589403973509935,0.3277440341815769,0.27118517596366193,0.22408502302727015,0.19333697481843146,0.13440705936314543,0.050765122094236496,0.19333697481843146,,,2.9779980009523745,0.8700078687183992,0.1473554722117053,0.004638658117520044,,,0.5094764744864148,,,0.004373757455268389
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,2,baseline,0.0,none,,0.2527,0.3303032230950216,0.0009105960264900663,0.3257065662967979,0.2691150538500604,0.22172162632685935,0.19409987874918505,0.13160668754761284,0.0499825979941223,0.19409987874918505,,,2.965016199177525,0.8772273342005954,0.15411175651606784,0.003644710105811049,,,0.5051027170311464,,,0.0035122597746852216
experiments/cikm2026,ml1m,weighted_ngcf,3,baseline,0.0,none,,0.2547,0.3330018985917103,0.0005960264900662252,0.33575036316105067,0.2770071284805162,0.22411795185988803,0.18550784837859854,0.15024251478245212,0.05653842690784113,0.18550784837859854,,,2.997268342034259,0.8665723649056495,0.13377360717539888,0.0023856858846918487,,,0.510934393638171,,,0.0023856858846918487
experiments/cikm2026,ml1m,weighted_ngcf,3,baseline,0.0,none,,0.2551,0.3329687860089289,0.0005629139072847682,0.33333558859113144,0.28004027173580587,0.22392269684604232,0.18752780305197997,0.14580778553915147,0.05539844840467584,0.18752780305197997,,,2.9877342436121532,0.8758432743083895,0.1341693342994701,0.002253147779986746,,,0.5137839628893306,,,0.002253147779986746
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,3,baseline,0.0,none,,0.2548,0.3330101767374057,0.0005629139072847682,0.33126795329988223,0.2764775024150563,0.22479735009412244,0.18729338664306705,0.14397456665681518,0.054255098045980436,0.18729338664306705,,,2.9805181117832777,0.8833904003047107,0.13383834013202442,0.002253147779986746,,,0.5145129224652086,,,0.002253147779986746
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,3,baseline,0.0,none,,0.2543,0.33306812375727324,0.0005794701986754967,0.33646312542383516,0.2754977930591696,0.22325953539096974,0.18819185551282822,0.14827126991100695,0.055955952819369784,0.18819185551282822,,,2.9913746090419697,0.8729966891846558,0.1333093288278243,0.0023193729455496595,,,0.5108681245858183,,,0.002253147779986746
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,3,baseline,0.0,none,,0.2556,0.33272044163806797,0.0006125827814569537,0.33409481206742075,0.278719730902878,0.22335718164462562,0.1874783013354008,0.14661651073201995,0.05562313368048899,0.1874783013354008,,,2.9811103224462343,0.8804785973784354,0.13595912523828516,0.0024519549370444,,,0.5113982770046388,,,0.0024519549370444
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,3,baseline,0.0,none,,0.2538,0.3314290509095911,0.0008278145695364238,0.32935103973961394,0.2763417377915687,0.2231705766570282,0.1863549044370104,0.14299613530260355,0.05409041494313017,0.1863549044370104,,,2.983356450140661,0.8678961650407482,0.14543401997454225,0.0033133648440482927,,,0.5051027170311464,,,0.003180914512922465
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,3,baseline,0.0,none,,0.2549,0.33281977938641233,0.0005960264900662252,0.3339619325796002,0.27772021541566133,0.22315011834515583,0.18801484213550643,0.1459470904440938,0.05534120258480491,0.18801484213550643,,,2.986143566863654,0.876241590811139,0.13522915644051461,0.0023856858846918487,,,0.511795891318754,,,0.0023856858846918487
experiments/cikm2026,ml1m,weighted_ngcf,4,baseline,0.0,none,,0.2557,0.3371201320394385,0.0004304635761589404,0.3378196141977192,0.2650517750561327,0.22533512602445432,0.19477421864707675,0.14304539555064247,0.05353749847422316,0.19477421864707675,,,3.0970235075682155,0.7948433475275873,0.10641014954303031,0.001722995361166335,,,0.5525513585155731,,,0.001722995361166335
experiments/cikm2026,ml1m,weighted_ngcf,4,baseline,0.0,none,,0.2557,0.3369876817083127,0.0003642384105960265,0.337718947960583,0.2640067743431914,0.22485042104991562,0.19556279735406282,0.14215615060652018,0.05330145574507924,0.19556279735406282,,,3.095963598583028,0.795770543035181,0.10680793923003498,0.0014579191517561298,,,0.5530815109343936,,,0.0014579191517561298
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,4,baseline,0.0,none,,0.255,0.3370787413109617,0.00046357615894039735,0.3362835776538892,0.26538605207848404,0.22319335511745816,0.19529243259885862,0.1409911450550306,0.05313082979540445,0.19529243259885862,,,3.096692952559115,0.7945108610350248,0.10694074065547791,0.001855445750381891,,,0.5537442014579191,,,0.0017892644135188865
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,4,baseline,0.0,none,,0.2553,0.33674761548314713,0.00038079470198675497,0.33657250067380234,0.26463040330338305,0.2241182535195596,0.19218165276815935,0.144390847905643,0.05395619880848336,0.19218165276815935,,,3.0940440337101776,0.7970276364118254,0.1074042293893774,0.0015241004886191343,,,0.5538767395626242,,,0.0014579191517561298
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,4,baseline,0.0,none,,0.2556,0.3366234432977167,0.00046357615894039735,0.33790804848758593,0.26484709576047044,0.22341919360661375,0.19327700744284584,0.1446310410447401,0.054262578463677866,0.19327700744284584,,,3.0930503483221297,0.7953052125083601,0.10978890570363842,0.001855533465871438,,,0.5526176275679258,,,0.001855533465871438
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,4,baseline,0.0,none,,0.2553,0.33673933733745176,0.0005298013245033113,0.33730425658375907,0.2639799381040507,0.2240629389269782,0.19608823995435865,0.14121601662940042,0.05310793746076989,0.19608823995435865,,,3.0939795185028984,0.7980196990923616,0.10588030433173737,0.002120478073002459,,,0.5546056991385022,,,0.0019880715705765406
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,4,baseline,0.0,none,,0.2553,0.3511598671387763,0.00019867549668874172,0.33869161327706715,0.26412569489620247,0.22313124384967223,0.19287798391712144,0.1458136293599457,0.054685424672741234,0.19287798391712144,,,3.2093627262304096,0.7140395526685464,0.07580249247281289,0.0007952286282306162,,,0.5948972829688535,,,0.0007952286282306162
experiments/cikm2026,ml1m,weighted_ngcf,5,baseline,0.0,none,,0.2573,0.3413088737612928,0.0004966887417218543,0.3363543616843642,0.26781419488410957,0.23129636159232625,0.19377880282606658,0.14257555885829765,0.052610055166167874,0.19377880282606658,,,3.130533534054256,0.7578215441958167,0.10965685017935015,0.0019880715705765406,,,0.5583167660702452,,,0.0019880715705765406
experiments/cikm2026,ml1m,weighted_ngcf,5,baseline,0.0,none,,0.2565,0.34715324462221997,0.0004304635761589404,0.3356536869489455,0.2702011236495791,0.23046466064143908,0.19448699275567732,0.14116669419326816,0.05237056278539791,0.19448699275567732,,,3.1772986851747276,0.7325881739264202,0.08839023331126475,0.0017229075875870603,,,0.5765407554671967,,,0.0015904572564612324
experiments/cikm2026_SOTA,ml1m,weighted_ngcf,5,baseline,0.0,none,,0.2573,0.3460191386619551,0.00038079470198675497,0.33710428283238,0.27251081017706447,0.2275247484200988,0.19468254674744265,0.14242173608493733,0.05339916697191563,0.19468254674744265,,,3.1682241249202874,0.7392110426226437,0.09104068813974961,0.0015241443173190437,,,0.5728296885354539,,,0.0014579191517561298
